"","Date","Geography","Keyword","Relative Search Intensity"
"560","February 2012","US-IA","pizza",459
"561","March 2012","US-IA","pizza",339.529411764706
"562","April 2012","US-IA","pizza",365.625
"563","May 2012","US-IA","pizza",396.428571428571
"564","June 2012","US-IA","pizza",380.823529411765
"565","July 2012","US-IA","pizza",352.6
"566","August 2012","US-IA","pizza",405.882352941177
"567","September 2012","US-IA","pizza",400.352941176471
"568","October 2012","US-IA","pizza",348.529411764706
"569","November 2012","US-IA","pizza",355.055555555556
"570","December 2012","US-IA","pizza",383.684210526316
"571","January 2013","US-IA","pizza",419.111111111111
"572","February 2013","US-IA","pizza",379.789473684211
"573","March 2013","US-IA","pizza",405.176470588235
"574","April 2013","US-IA","pizza",351.5
"575","May 2013","US-IA","pizza",405
"576","June 2013","US-IA","pizza",453.375
"577","July 2013","US-IA","pizza",496.411764705882
"578","August 2013","US-IA","pizza",474.789473684211
"579","September 2013","US-IA","pizza",336
"580","October 2013","US-IA","pizza",434.529411764706
"581","November 2013","US-IA","pizza",453.894736842105
"582","December 2013","US-IA","pizza",506.333333333333
"583","January 2014","US-IA","pizza",500
"584","February 2014","US-IA","pizza",547.411764705882
"585","March 2014","US-IA","pizza",458.055555555556
"586","January 2011","US-IA","ice cream",48.375
"587","February 2011","US-IA","ice cream",50.625
"588","March 2011","US-IA","ice cream",48.2142857142857
"589","April 2011","US-IA","ice cream",80
"590","May 2011","US-IA","ice cream",65
"591","June 2011","US-IA","ice cream",74
"592","July 2011","US-IA","ice cream",76
"593","August 2011","US-IA","ice cream",48.8888888888889
"594","September 2011","US-IA","ice cream",52.4117647058824
"595","October 2011","US-IA","ice cream",57.9333333333333
"596","November 2011","US-IA","ice cream",54
"597","December 2011","US-IA","ice cream",57.5882352941177
"598","January 2012","US-IA","ice cream",49.4444444444444
"599","February 2012","US-IA","ice cream",51
"600","March 2012","US-IA","ice cream",52.2352941176471
"601","April 2012","US-IA","ice cream",68.25
"602","May 2012","US-IA","ice cream",84.5714285714286
"603","June 2012","US-IA","ice cream",87.1764705882353
